"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue","qc_failure_count","qc_pvalue_failure_count"
"8gqj269n0xovtpo","MGI:2385112","NDUFS2","C57BL","E12.5","IMPC_HEM_003_001","hemoglobin",1.354109,0,1
"8i308s246gg9jkb","MGI:2156003","SNIP1","C57BL","Early adult","M-G-P_008_001_007","transfer arousal",1.477668,0,1
"8in0ka77mo4l1mp","MGI:1890645","NEK7","C57BL","E12.5","IMPC_HEM_033_001","monocyte differential count",1.157866,0,1
"8isl484j9y0fk01","MGI:2684063","ASXL1","129SV","Early adult","IMPC_GEL_063_001","delayed embryonic development",1.265442,0,1
"8j1s4270xz2lf0d","MGI:1098826","COQ4","C57BL","Early adult","IMPC_CSD_025_001","head size",1.478929,0,1
"8j4ph7nly76aq90","MGI:1919132","SERINC2","C57BL","Early adult","IMPC_GEM_019_001","embryo size",1.22983,0,1
"8j53ne9xa4xvw56","MGI:104742","KCNJ3","C57BL","Early adult","IMPC_EYE_057_001","min right eye lens density",1.169216,0,1
"8k2vj00016jwiv4","MGI:3605071","YPEL4","C57BL","Early adult","IMPC_GEP_086_001","delayed embryonic development",1.318809,0,1
"8k68snb6ug3l1os","MGI:2385619","KLHL12","C57BL","Middle aged adult","IMPC_CBC_009_001","calcium",1.030266,0,1
"8liy967o49h88il","MGI:98289","SCG5","C57BL","Early adult","IMPC_GRS_009_001","forelimb and hindlimb grip strength measurement mean",1.419501,0,1
"8lqm9g5dv6p04sw","MGI:1890077","FOXO1","C57BL","E9.5","M-G-P_016_001_006","mean-corpuscular-haemoglobin",1.238795,0,1
"8mb04kge1hqm5oz","MGI:2385112","NDUFS2","C57BL","E12.5","IMPC_GEP_013_001","blood vessel morphology",1.375241,0,1
"8n7x2o6fzh9x6f4","MGI:2180167","NAXE","C57BL","Early adult","IMPC_EYE_017_001","lens opacity",1.298597,0,1
"8nvd64985zwy0y8","MGI:2138982","ZNFX1","C57BL","Early adult","IMPC_ECG_003_001","cv",1.477382,0,1
"8o7806ze8992yl3","MGI:1277952","SERPINB3C","C57BL","Early adult","IMPC_DXA_004_001","bone mineral density (excluding skull)",1.444711,0,1
"8oeu6e66197m568","MGI:1336885","CD84","C57BL","Early adult","IMPC_GEO_064_001","edema",1.20639,0,1
"8q0j6662772p11g","MGI:1925867","CSTAD","C57BL","Early adult","ESLIM_008_001_012","tail elevation",1.396226,0,1
"8q2srrux5t6mul6","MGI:95476","FABP3","C57BL","Early adult","IMPC_EYE_010_001","iris/pupil",1.10426,0,1
"8q76210sz23wul9","MGI:1921660","TTLL11","C57BL","Early adult","IMPC_OFD_011_001","periphery resting time",1.143073,0,1
"8qk09jh743q7aap","MGI:1349163","SDC3","C57BL","Early adult","M-G-P_006_001_028","number of pelvic vertebrae",1.088935,0,1
"8r3b4pbwto70052","MGI:1913941","GAPVD1","C57BL","Middle aged adult","CCP_XRY_018_001","shape of vertebrae",1.470874,0,1
"8rab357409z022u","MGI:2444646","HPDL","C57BL","Early adult","ESLIM_014_001_009","lens",1.346198,0,1
"8rsen897if426d6","MGI:2180370","PROK1","C57BL","Early adult","IMPC_CBC_004_001","urea (blood urea nitrogen - bun)",1.196092,0,1
"8rzigwif1p177v0","MGI:2443258","MAP3K20","C57BL","Early adult","IMPC_GEP_011_002","hemorrhage",1.226201,0,1
"8s2tin77qk755p6","MGI:1921778","MGME1","C57BL","Middle aged adult","IMPC_EYE_010_001","iris/pupil",1.012308,0,1
"8s67209866d6cwf","MGI:1336993","AP4E1","C57BL","Early adult","JAXLA_CSD_036_001","startle response",1.442497,0,1
"8th115qaq18t9ey","MGI:1862037","SLC12A5","C57BL","Early adult","HRWLLA_DXA_008_001","lean/body weight",1.443646,0,1
"8tz906vu9y544n3","MGI:1917212","METTL18","C57BL","Early adult","IMPC_CSD_011_001","coat - hair distribution - back",1.245246,0,1
"8v5x8kn57l22iw1","MGI:2155705","P2RY14","C57BL","Middle aged adult","IMPC_EYE_027_001","persistence of hyaloid vascular system",1.337514,0,1
"8va7hq56v8ksq2s","MGI:96615","ITGB6","C57BL","Early adult","M-G-P_026_001_004","coat colouration",1.301608,0,1
"8vn85po2k5r406y","MGI:1922675","TTI1","C57BL","Early adult","JAXLA_DXA_007_001","bmc/body weight",1.356501,0,1
"8xb2sfk3qway12v","MGI:2181366","CAPN8","C57BL","Early adult","IMPC_DXA_007_001","bmc/body weight",1.177954,0,1
"8xmb40to8364j3i","MGI:2443133","TMEM198","C57BL","Early adult","IMPC_HEM_040_001","large unstained cell (luc) differential count",1.203776,0,1
"9015pi5i08864wx","MGI:2445194","CIMIP2B","C57BL","Early adult","CCP_LFO_003_001","csn",1.445115,0,1
"905rry7wn95eetr","MGI:2135884","GPR63","C57BL","Early adult","IMPC_CSD_006_001","coat - color - head",1.140045,0,1
"90b00qxe1nlu61w","MGI:2156003","SNIP1","129SV","Early adult","IMPC_ECG_003_001","cv",1.001824,0,1
"9111an4tau11a45","MGI:1921985","TRIM14","C57BL","Early adult","CCP_XRY_031_001","digit integrity",1.005765,0,1
"915j3ju2x0p9t2d","MGI:1919132","SERINC2","C57BL","Early adult","ESLIM_001_001_009","coat hair color",1.420102,0,1
"9178c752c2hia0w","MGI:2445194","CIMIP2B","C57BL","Early adult","M-G-P_016_001_004","haematocrit",1.231184,0,1
"918656h2wxhzn9z","MGI:1914313","PGAP4","C57BL","Early adult","IMPC_FEA_015_001","cue baseline % freezing time",1.493149,0,1
"91h086ow1snk15u","MGI:3607704","SLC22A15","C57BL","Early adult","IMPC_HEM_033_001","monocyte differential count",1.044748,0,1
"923q609q0u984d0","MGI:1861453","ACTL6A","C57BL","E9.5","IMPC_CSD_022_001","hindlimbs - size",1.307766,0,1
"929f1b73qn96d4u","MGI:2444594","SLC26A9","C57BL","E18.5","IMPC_HEM_003_001","hemoglobin",1.29874,0,1
"92d91fc0j0a153i","MGI:1201414","CER1","C57BL","Early adult","JAX_LDT_007_001","latency to first transition into dark",1.14997,0,1
"92hr36170b7q728","MGI:2441869","ARHGEF11","C57BL","Early adult","IMPC_EYE_003_001","eye hemorrhage or blood presence",1.306318,0,1
"933n07wxm6z9w5s","MGI:1914959","REG4","C57BL","Early adult","M-G-P_016_001_005","mean-cell-volume",1.088973,0,1
"93756m1vo09924k","MGI:1920422","EXO5","C57BL","Early adult","UCD_OWT_029_001","body length",1.428217,0,1
"93df3cppf0cpx2o","MGI:1342287","KLF4","C57BL","Early adult","M-G-P_007_001_007","periphery - resting time",1.006532,0,1
"93e652wz13803rt","MGI:2447076","KIF26B","C57BL","Early adult","CCP_XRY_020_001","processes on vertebrae",1.182772,0,1
"93xd7485a8u34pr","MGI:1336993","AP4E1","C57BL","Early adult","IMPC_OFD_022_001","percentage center time",1.492056,0,1
"94287282c0781mp","MGI:1924627","KCNT1","C57BL","Early adult","IMPC_GEL_014_001","allantois morphology",1.337421,0,1
"9440q94zsh90wfe","MGI:2684063","ASXL1","129SV","Early adult","ICS_FEA_018_001","% freezing duration pre-cue-1",1.275475,0,1
"950a28509350im8","MGI:3645211","LIPT1","C57BL","Early adult","IMPC_HEM_004_001","hematocrit",1.299823,0,1
"95bhle82i6h821o","MGI:2158650","IDH3B","C57BL","Middle aged adult","TCPLA_EYE_027_001","persistence of hyaloid vascular system",1.083844,0,1
"95ou7krv3786nj3","MGI:1923547","KTI12","C57BL","E9.5","IMPC_CSD_036_001","startle response",1.216294,0,1
"95s03v0331n9bse","MGI:88294","CACNA1S","C57BL","E15.5","IMPC_CSD_007_001","coat - color - abdomen",1.440987,0,1
"95ttqb7059dcmxf","MGI:102806","ACVR2A","C57BL","E15.5","IMPC_CSD_025_001","head size",1.457864,0,1
"9630d91e7x4n22t","MGI:1923997","DAPL1","C57BL","Early adult","IMPC_HEM_038_001","basophil differential count",1.087931,0,1
"9650s4s625w76a6","MGI:1890577","SRSF4","C57BL","Early adult","ESLIM_007_001_008","periphery permanence time",1.329632,0,1
"96dhzd0sgzea7gt","MGI:2444218","AHDC1","C57BL","Early adult","IMPC_CBC_012_001","aspartate aminotransferase",1.141545,0,1
"96e91sf8688s0rp","MGI:2385206","PABPC4","C57BL","Early adult","IMPC_DXA_004_001","bone mineral density (excluding skull)",1.034983,0,1
"97c4859zrnh8r49","MGI:2444772","ZHX3","C57BL","Early adult","IMPC_EYE_012_001","pupil shape",1.491239,0,1
"97zy054jixh05s9","MGI:1916417","PPP1R12B","C57BL","Early adult","IMPC_CBC_014_001","alkaline phosphatase",1.010159,0,1
"988r6s34etps38i","MGI:1921579","INAVA","C57BL","Early adult","IMPC_ABR_004_001","6khz-evoked abr threshold",1.335046,0,1
"989xi5u4r340565","MGI:1918893","ZGRF1","C57BL","Early adult","JAX_SLW_013_001","breath rate during sleep mean",1.218249,0,1
"98cr37820udxzlm","MGI:1861453","ACTL6A","C57BL","Early adult","M-G-P_025_001_021","uric acid",1.385572,0,1
"98gwqa63i4yl24z","MGI:3645211","LIPT1","C57BL","E12.5","IMPC_CSD_061_001","skin color - tail",1.002207,0,1
"98pg53p6929328h","MGI:3780953","MNDAL","C57BL","Early adult","IMPC_DXA_005_001","bone mineral content (excluding skull)",1.383769,0,1
"990mbqm78solv89","MGI:1921783","GZF1","C57BL","Early adult","IMPC_ECG_028_001","qt",1.244913,0,1
"993esn217tp6p76","MGI:2444300","ARHGAP11A","C57BL","Early adult","IMPC_FOR_001_001","total duration of lick/bite behaviour",1.210981,0,1
"995l6zi19d09z5i","MGI:1919772","ATXN7L2","C57BL","Early adult","ESLIM_013_001_003","left retina",1.289777,0,1
"99d61ull6lmos14","MGI:3027003","INO80D","C57BL","E12.5","IMPC_GEL_057_001","heart looping",1.193106,0,1
"99oyv8rp124210g","MGI:1921700","PANK2","C57BL","Early adult","IMPC_EYE_024_001","retinal blood vessels",1.259084,0,1
"9a2h2fao8t6jkn5","MGI:1913842","STOML2","C57BL","Early adult","IMPC_CBC_017_001","triglycerides",1.471705,0,1
"9al74bth437lz17","MGI:102806","ACVR2A","C57BL","Early adult","IMPC_DXA_003_001","lean mass",1.213336,0,1
"9ang91c506dg02a","MGI:2443133","TMEM198","C57BL","Middle aged adult","ESLIM_001_001_009","coat hair color",1.104681,0,1
"9ar35j43aef7q88","MGI:2444646","HPDL","C57BL","E18.5","M-G-P_016_001_006","mean-corpuscular-haemoglobin",1.167673,0,1
"9b16959c9x3hw47","MGI:2159210","TIPARP","C57BL","Early adult","CCP_XRY_060_001","transitional vertebrae",1.345203,0,1
"9cw6qezp1hym103","MGI:1336997","LANCL1","C57BL","Early adult","MGP_CSD_015_001","head coat/hair presence",1.487033,0,1
"9d3tdbz76c1h0cg","MGI:104580","RAPGEF1","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)",1.007242,0,1
"9dt72oo9fp19cln","MGI:109339","EYA3","C57BL","Early adult","IMPC_DXA_010_001","bone area",1.074189,0,1
"9ew111bb955qzd5","MGI:2676921","FOCAD","C57BL","Middle aged adult","CCP_XRY_064_001","thoracic processes",1.182475,0,1
"9f131vx2gek74qv","MGI:1925867","CSTAD","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)",1.080902,0,1
"9f75m0bd86k4dpm","MGI:3027003","INO80D","C57BL","E18.5","IMPC_CSD_049_002","hindlimb digit - shape",1.434946,0,1
"9g2o5pp7zt4nd3r","MGI:2180167","NAXE","C57BL","Early adult","IMPC_GEO_064_001","edema",1.43516,0,1
"9h63ir43uy95hj8","MGI:1921280","RIN2","C57BL","Early adult","ICS_FEA_017_001","% freezing duration habituation-2",1.003126,0,1
"9h9n481do8p31z8","MGI:2444748","CHD7","129SV","Early adult","IMPC_GPP_004_001","placenta size",1.190315,0,1
"9hdbgn66s0gq332","MGI:2385619","KLHL12","C57BL","Late adult","IMPC_GEL_011_001","embryo turning",1.279343,0,1
"9i20k08303wl2r2","MGI:1861453","ACTL6A","C57BL","Early adult","JAX_OFD_010_001","periphery distance travelled",1.405523,0,1
"9i7863j40071v82","MGI:3780953","MNDAL","C57BL","E15.5","IMPC_EYE_003_001","eye hemorrhage or blood presence",1.098571,0,1
"9i8gj15y34mj3og","MGI:2444300","ARHGAP11A","C57BL","Early adult","JAX_OFD_020_001","distance travelled - total",1.202725,0,1
"9iiyl7567v71e13","MGI:88294","CACNA1S","C57BL","E15.5","IMPC_GEP_005_002","responsive to tactile stimuli",1.083537,0,1
"9j1949te02ku21f","MGI:1914959","REG4","C57BL","Early adult","GMC_923_001_001","body weight",1.468753,0,1
"9j5qhn7k0t9gta8","MGI:2669796","RTN4RL2","C57BL","Early adult","IMPC_CBC_009_001","calcium",1.022501,0,1
"9k8zxn98e6bgvo9","MGI:104576","LCT","C57BL","Early adult","JAX_SLW_007_001","light sleep bout lengths mean",1.32262,0,1
"9kb2y62b5i30yn8","MGI:2443133","TMEM198","C57BL","Early adult","IMPC_HWT_002_001","tibia length",1.327359,0,1
"9l8298r0u91b8a5","MGI:1861453","ACTL6A","C57BL","Early adult","MGP_CSD_015_001","head coat/hair presence",1.383579,0,1
"9lxek4660vqf136","MGI:97812","PTPRD","C57BL","Early adult","IMPC_GPP_004_001","placenta size",1.088624,0,1
"9n7h40t84v61390","MGI:3606576","CDNF","C57BL","Early adult","IMPC_FEA_107_001","difference in conditioning post-shock and conditioning baseline % freezing",1.279435,0,1
"9o0di75av38p5kr","MGI:1921778","MGME1","C57BL","Late adult","UCD_OWT_004_001","left kidney",1.359379,0,1
"9or37fusao2t1w3","MGI:3603828","MROH8","C57BL","Early adult","IMPC_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight",1.13169,0,1
"9q46yw9pjp0p22e","MGI:3780953","MNDAL","C57BL","E9.5","UCDLA_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight",1.198862,0,1
"9qj8m839nmzvrb4","MGI:2139628","CTSO","C57BL","Early adult","CCP_LFO_003_001","csn",1.295547,0,1
"9u03138s0gvke8o","MGI:1923997","DAPL1","C57BL","Late adult","JAXLA_IPG_012_001","area under glucose response curve",1.067698,0,1
"9v20l09v0g311c8","MGI:1921660","TTLL11","C57BL","Early adult","IMPC_OFD_007_001","whole arena resting time",1.431988,0,1
"9v9m0e52c78801k","MGI:3780953","MNDAL","C57BL","E15.5","IMPC_GEO_009_002","hemorrhage",1.352164,0,1
"9vu5zzs2svr0sq2","MGI:1919347","CRACDL","C57BL","Early adult","IMPC_CBC_004_001","urea (blood urea nitrogen - bun)",1.311383,0,1
"9w0mp3644026959","MGI:1917854","DNAJB14","C57BL","E9.5","IMPC_ECG_028_001","qt",1.476406,0,1
"9w8bqs2d10254pc","MGI:1921985","TRIM14","C57BL","Early adult","IMPC_GEO_064_001","edema",1.002667,0,1
"9wo1q8wdi408463","MGI:1916125","TMCC2","C57BL","E18.5","IMPC_CSD_022_001","hindlimbs - size",1.095909,0,1
"9wvfg371sn95h3v","MGI:3650624","ARID3C","C57BL","Early adult","IMPC_OFD_018_001","latency to center entry",1.142497,0,1
"9zjm685606w3402","MGI:98427","IL1RL1","C57BL","Early adult","IMPC_GEL_011_001","embryo turning",1.371736,0,1
"a14q5dl1p13116a","MGI:3528744","XKR4","C57BL","Early adult","IMPC_CSD_002_001","tail - length",1.205238,0,1
"a15qlukv956f720","MGI:106505","ZMYM6","C57BL","Early adult","CCP_XRY_020_001","processes on vertebrae",1.379256,0,1
"a16g16k9tr4t4m2","MGI:2684953","DNAH7B","C57BL","Early adult","HRWLLA_IPG_010_001","fasted blood glucose concentration",1.282779,0,1
"a18314h6xz6fo6t","MGI:107752","MYO1B","C57BL","Early adult","IMPC_ECH_009_001","lvpwd",1.130524,0,1
"a1jmy8b42mq9ho7","MGI:2447076","KIF26B","C57BL","Early adult","ESLIM_005_001_704","bone area (bmc/bmd)",1.243161,0,1
"a31886dv81332d4","MGI:2444646","HPDL","C57BL","E18.5","IMPC_DXA_004_001","bone mineral density (excluding skull)",1.170516,0,1
"a33sq1kow4w241s","MGI:99632","KCNB2","C57BL","Early adult","IMPC_GEO_047_002","microphthalmia",1.373853,0,1
"a4gw2z9c680lie5","MGI:2155705","P2RY14","C57BL","Early adult","JAX_OFD_017_001","center average speed",1.092954,0,1
"a5642kxt8th9xq7","MGI:97372","NPR2","C57BL","Early adult","IMPC_ECG_028_001","qt",1.1218,0,1
"a5e3mkun6snc9d8","MGI:1919132","SERINC2","C57BL","Early adult","ICS_FEA_017_001","% freezing duration habituation-2",1.084678,0,1
"a7mcv9672dm9b36","MGI:2669796","RTN4RL2","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin",1.034358,0,1
"a7v8719smref5k1","MGI:1336993","AP4E1","C57BL","Early adult","JAX_HBD_001_001","total holepokes",1.344218,0,1
"a9w389x3reylq8b","MGI:2444594","SLC26A9","C57BL","E18.5","IMPC_GEP_024_001","body wall morphology",1.286609,0,1
"aa18p9498sxj357","MGI:104580","RAPGEF1","C57BL","Early adult","CCP_XRY_065_001","lumbar processes",1.40777,0,1
"aav34q86ctk4m29","MGI:2156003","SNIP1","C57BL","Early adult","IMPC_IMM_003_002","t cells (panel a) - % of live leukocytes (panel a)",1.121823,0,1
"ab37a8jz3cq6625","MGI:2676921","FOCAD","C57BL","E18.5","M-G-P_006_001_028","number of pelvic vertebrae",1.45946,0,1
"ac58533bdqywqq3","MGI:96615","ITGB6","C57BL","Early adult","IMPC_DXA_010_001","bone area",1.318859,0,1
"adzww8in95o6581","MGI:1277960","PATJ","C57BL","Late adult","JAXLA_CSD_005_001","coat - color - back",1.279727,0,1
"afxsc7d4lycv611","MGI:2682639","DDX31","C57BL","E12.5","IMPC_OFD_021_001","number of rears - total",1.127306,0,1
"ak5tv8s4lxogipf","MGI:2139309","GARNL3","C57BL","Early adult","IMPC_FOR_001_001","total duration of lick/bite behaviour",1.35186,0,1
"ami9y72i96656pr","MGI:2181434","PHC3","C57BL","Early adult","IMPC_CSD_079_001","aggression",1.285341,0,1
"ao83o905tjn4e88","MGI:2135884","GPR63","C57BL","Early adult","IMPC_GEP_022_001","embryo size",1.427931,0,1
"as134176338762t","MGI:1276107","MMP16","C57BL","Early adult","IMPC_DXA_006_001","body length",1.053472,0,1
"as5701jiin4fx01","MGI:2442190","CAMK1D","C57BL","Middle aged adult","IMPC_GEO_048_002","anophthalmia",1.41162,0,1
"as8tj8lc7fec571","MGI:2444149","A830018L16RIK","C54BL","Early adult","IMPC_CBC_017_001","triglycerides",1.267647,0,1
"asrsi0y6357cui6","MGI:1930948","GAR1","C57BL","Early adult","M-G-P_006_001_028","number of pelvic vertebrae",1.097444,0,1
"au0234fjt6s4i7a","MGI:1928902","CNOT9","C57BL","Early adult","IMPC_EYE_027_001","persistence of hyaloid vascular system",1.022169,0,1
"aw0x28q50325i81","MGI:1890645","NEK7","C57BL","E12.5","JAXLA_CBC_012_001","aspartate aminotransferase",1.122042,0,1
"ay6e57e8ds01052","MGI:102806","ACVR2A","C57BL","E15.5","IMPC_ECG_031_001","abnormal ecg detected",1.310291,0,1
"b0ip873uq1lj935","MGI:1918328","ADAM30","C57BL","Early adult","CCP_XRY_020_001","processes on vertebrae",1.16408,0,1
"b2c434x00h4u46p","MGI:97372","NPR2","C57BL","Early adult","IMPC_EYE_013_001","pupil dilation",1.190758,0,1
"b4k8315br00des3","MGI:99632","KCNB2","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage",1.293021,0,1
"b653h9w5j1w5n9v","MGI:2445194","CIMIP2B","C57BL","Early adult","IMPC_ACS_033_001","% pre-pulse inhibition - ppi1",1.058094,0,1
"b657172871qvg75","MGI:87882","ACP2","C57BL","Early adult","IMPC_CSD_033_001","gait",1.119698,0,1
"b787511135zkgd5","MGI:2444300","ARHGAP11A","C57BL","Early adult","CCP_XRY_060_001","transitional vertebrae",1.411205,0,1
"b79ka5g28h793e3","MGI:97372","NPR2","C57BL","Early adult","IMPC_OFD_012_001","periphery permanence time",1.489661,0,1
"b8w788l24n2qp6i","MGI:2387194","QSOX2","C57BL","Early adult","KMPCLA_CSD_008_001","coat - color pattern - back",1.210023,0,1
"b915p080xo84t32","MGI:1917237","SPACA9","C57BL","Early adult","M-G-P_016_001_004","haematocrit",1.358834,0,1
"b96817ofwyeam14","MGI:1858211","ZRANB2","129SV","Early adult","IMPC_CBC_017_001","triglycerides",1.171364,0,1
"bi5300q14u1a3ph","MGI:88294","CACNA1S","C57BL","E15.5","IMPC_CSD_038_001","trunk curl",1.294995,0,1
"bim4sjdf3z75i11","MGI:1916976","SMYD3","C57BL","Early adult","IMPC_XRY_033_001","tibia length",1.476128,0,1
"bj9833223qg013n","MGI:106227","CAPZA1","C57BL","Early adult","CCP_XRY_031_001","digit integrity",1.333565,0,1
"bmwsk0kcg5hmev7","MGI:2444069","VWC2L","C57BL","Early adult","HRWLLA_CBC_004_001","urea (blood urea nitrogen - bun)",1.417148,0,1
"bmz01m29u3xm013","MGI:2444748","CHD7","C3H","Early adult","IMPC_OFD_021_001","number of rears - total",1.491427,0,1
"bn6fsy86360vz37","MGI:1921660","TTLL11","C57BL","Early adult","IMPC_FEA_107_001","difference in conditioning post-shock and conditioning baseline % freezing",1.158455,0,1
"bp3396mp8s3q2p0","MGI:2386797","ST8SIA6","C57BL","Early adult","IMPC_EYE_025_001","retinal blood vessels structure",1.398795,0,1
"bpz68na06j35xij","MGI:1861453","ACTL6A","C57BL","Early adult","CCP_LFO_010_001","hp8",1.332566,0,1
"bsd1d1123cx7434","MGI:3650624","ARID3C","C57BL","Early adult","UCD_OWT_029_001","body length",1.262375,0,1
"bt5tg3m6z54tns7","MGI:1351627","PDHX","C57BL","Early adult","IMPC_HEM_008_001","platelet count",1.10729,0,1
"btqe1ln14p952vn","MGI:1914848","UCHL5","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage",1.096164,0,1
"btyy61sy0r12o47","MGI:1917854","DNAJB14","C57BL","Early adult","BCMLA_OWT_002_001","spleen weight",1.139363,0,1
"bx5lv24ua82chw6","MGI:3780953","MNDAL","C57BL","E18.5","IMPC_ABR_002_001","click-evoked abr threshold",1.334746,0,1
"c00fb8i6269se0g","MGI:1917315","ANKRD60","C57BL","Early adult","IMPC_ABR_002_001","click-evoked abr threshold",1.378971,0,1
"c39t94unimi6g05","MGI:2156687","SLC2A10","C57BL","Early adult","ESLIM_005_001_704","bone area (bmc/bmd)",1.191958,0,1
"c467y0t77h459we","MGI:1917212","METTL18","C57BL","Early adult","CCP_XRY_057_001","kyphosis",1.454426,0,1
"c477c64b544y4nc","MGI:1289192","FBXO36","C57BL","Early adult","IMPC_ACS_006_001","response amplitude - s",1.315312,0,1
"c51h9hq1193vj8f","MGI:1890645","NEK7","C57BL","E15.5","IMPC_GPO_003_001","placenta vasculature",1.471586,0,1
"c5yr187239l2st9","MGI:109442","ITGA8","C57BL","Early adult","ESLIM_018_001_003","t cell cd3+ percentage",1.37252,0,1
"c6p22301f61aj6i","MGI:2183102","SARDH","C57BL","Early adult","IMPC_CSD_011_001","coat - hair distribution - back",1.405304,0,1
"c731sy3jvzjji31","MGI:1919347","CRACDL","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration",1.468328,0,1
"c872rr6k64r8t0r","MGI:2385619","KLHL12","C57BL","Late adult","M-G-P_006_001_026","fusion of vertebrae",1.273038,0,1
"c8wwt82o38mm28j","MGI:88491","CRABP2","C57BL","Early adult","IMPC_GEP_029_002","cyanosis",1.037803,0,1
"c9wwa8l5655cc19","MGI:1354944","ORC3","C57BL","Early adult","IMPC_HEM_008_001","platelet count",1.091414,0,1
"ca333m3o0ri5gz6","MGI:102806","ACVR2A","C57BL","E15.5","IMPC_OFD_021_001","number of rears - total",1.414539,0,1
"cav07t4a4kg61an","MGI:1353627","ANGPTL3","C57BL","Early adult","KMPCLA_OFD_016_001","center permanence time",1.168367,0,1
"cb159fil4339up1","MGI:2155705","P2RY14","C57BL","Early adult","IMPC_EYE_017_001","lens opacity",1.284406,0,1
"cc4b4qn1y009ms5","MGI:1918103","VWA3B","C57BL","Early adult","IMPC_GPP_002_001","placenta morphology",1.496806,0,1
"cdbi31027j31f18","MGI:2444120","SPAG4","C57BL","Early adult","IMPC_CSD_024_001","vibrissae - appearance",1.264725,0,1
"cf9ikadza4p39zo","MGI:2180370","PROK1","C57BL","Early adult","IMPC_GRS_008_001","forelimb grip strength measurement mean",1.383983,0,1
"cj4uvk4dzlf47k2","MGI:2445194","CIMIP2B","C57BL","Early adult","IMPC_EYE_011_001","pupil position",1.250009,0,1
"cooa6l4j1617w90","MGI:1923547","KTI12","C57BL","E9.5","IMPC_CSD_039_001","limb grasp",1.260202,0,1
"cv9tq34bf10ih54","MGI:1098230","CENPE","C57BL","Early adult","JAX_OFD_007_001","whole arena resting time",1.165326,0,1
"d19lclt4m6343rp","MGI:104650","CNR2","C57BL","Early adult","ESLIM_013_001_003","left retina",1.137386,0,1
"d1p8a087y6253u3","MGI:2180370","PROK1","C57BL","Early adult","BCMLA_OWT_002_001","spleen weight",1.215805,0,1
"d263dyioins59pm","MGI:1890577","SRSF4","129SV","Early adult","IMPC_GEO_009_002","hemorrhage",1.445133,0,1
"d2969qd03t606so","MGI:2682639","DDX31","C57BL","E18.5","CCP_XRY_065_001","lumbar processes",1.015884,0,1
"d2c49d800xe5sp8","MGI:1336993","AP4E1","C57BL","Early adult","CCP_LFO_003_001","csn",1.220442,0,1
"d3218zhjbuo2184","MGI:1336885","CD84","C57BL","Early adult","JAXLA_CSD_039_001","limb grasp",1.351921,0,1
"d4jjqumo18967v2","MGI:1921985","TRIM14","C57BL","Early adult","KMPCLA_OFD_012_001","periphery permanence time",1.390542,0,1
"d500a34rx5i70ur","MGI:1917854","DNAJB14","C57BL","Early adult","IMPC_EYE_024_001","retinal blood vessels",1.353585,0,1
"d56vgvq5a2po053","MGI:1921783","GZF1","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration",1.240736,0,1
"d5c90i1d200tm3d","MGI:1919772","ATXN7L2","C57BL","Early adult","IMPC_EYE_007_001","cornea",1.136339,0,1
"d6cc6h1k31u3vb5","MGI:1890645","NEK7","C57BL","E18.5","IMPC_HEM_003_001","hemoglobin",1.083716,0,1
"d73h0248ey4d7y3","MGI:2158650","IDH3B","C57BL","Early adult","IMPC_DXA_002_001","fat mass",1.163872,0,1
"d79fc554elv7529","MGI:2158650","IDH3B","C57BL","Early adult","HRWLLA_DXA_008_001","lean/body weight",1.18937,0,1
"d838rza4r6rnc41","MGI:2442409","DPP10","C57BL","Early adult","IMPC_EYE_069_001","left inner nuclear layer",1.146503,0,1
"d87r0cwqdfs6w28","MGI:1917489","GTF3C5","129SV","Early adult","JAX_HBD_001_001","total holepokes",1.491854,0,1
"d88szpkvkr1y630","MGI:2685061","DYTN","C57BL","Early adult","JAXLA_CSD_036_001","startle response",1.439642,0,1
"d8e0m769cq2bq45","MGI:1353627","ANGPTL3","C57BL","Early adult","IMPC_CBC_006_001","total protein",1.095229,0,1
"d909505kyc7w974","MGI:2181743","D430041D05RIK","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration",1.296839,0,1
"d90r1v4cgn3d0tx","MGI:1932395","RRBP1","C57BL","Early adult","IMPC_GEO_047_002","microphthalmia",1.178354,0,1
"d9946p2013zm1c3","MGI:1336993","AP4E1","C57BL","E18.5","IMPC_OFD_011_001","periphery resting time",1.383117,0,1
"d9g91nvs936ldrl","MGI:2447076","KIF26B","C57BL","E12.5","IMPC_GPO_003_001","placenta vasculature",1.484173,0,1
"dd0ek900l3el68x","MGI:2684063","ASXL1","129SV","Early adult","GMC_916_001_008","latency familiar object exploration",1.257858,0,1
"deff11ozzb1t9a9","MGI:3780953","MNDAL","C57BL","E9.5","IMPC_EYE_003_001","eye hemorrhage or blood presence",1.008141,0,1
